"taxon"
"Banksia marginata"
"Banksia menziesii"
"Banksia ornata"
"Baptisia leucophaea"
"Barteria fistulosa"
"Bartsia alpina"
"Bauhinia cunninghamii"
"Bauhinia holophylla"
"Bauhinia megalandra"
"Bauhinia racemosa"
"Bauhinia variegata"
"Bellucia grossularioides"
"Berberis ilicifolia"
"Berberis trifoliolata"
"Berberis vulgaris"
"Berlinia auriculata"
"Bertya cunninghamii"
"Beta vulgaris"
"Beta vulgaris subsp. cicla"
"Beta vulgaris subsp. maritima "
"Beta vulgaris subsp. vulgaris"
"Betula alleghaniensis"
"Betula davurica"
"Betula ermanii"
"Betula glandulosa"
"Betula humilis"
"Betula maximowicziana"
"Betula nana"
"Betula nigra"
"Betula papyrifera"
"Betula pendula"
"Betula platyphylla"
"Betula platyphylla.japonica"
"Betula populifolia"
"Betula pubescens"
"Betula pumila"
"Betula sp"
"Beyeria opaca"
"Bistorta amplexicaulis"
"Bistorta bistortoides"
"Bistorta plumosa"
"Bistorta viviparum"
"Bixa orellana"
"Blakea foliacea"
"Boehmeria sp"
"Bolusanthus speciosus"
"Bomarea glaucescens"
"Bombax ceiba"
"Bombax discolor"
"Bombax humilis"
"Borago officinalis "
"Boronia ledifolia"
"Bossiaea eriocarpa"
"Bossiaea walkeri"
"Boswellia serrata"
"Bougainvillea spectabilis"
"Bourreria cumanensis"
"Bouteloua curtipendula"
"Bowdichia virgilioides"
"Brabejum stellatifolium"
"Brachychiton megaphyllus"
"Brachychiton populneus"
"Brachyglottis revolutus"
"Brachylaena neriifolia"
"Brachypodium distachyon"
"Brachypodium phoenicoides"
"Brachypodium pinnatum"
"Brachypodium retusum"
"Brachystegia spiciformis"
"Brassica carinata "
"Brassica juncea"
"Brassica juncea "
"Brassica junceae"
"Brassica napus"
"Brassica napus "
"Brassica oleracea"
"Brassica oleracea var. acephala"
"Brassica rapa"
"Brassica rapa "
"Brassica tournefortii"
"Breonia cadamba"
"Brickellia eupatorioides"
"Bridelia retusa"
"Bromus erectus"
"Bromus hordeaceus"
"Bromus inermis"
"Bromus inermus "
"Bromus lanatus"
"Bromus lanceolatus"
"Bromus madritiensis"
"Bromus willdenowii"
"Bromus willdenowii "
"Brosimum alicastrum"
"Broussaisia arguta"
"Bruguiera cylindrica"
"Buchanania lanzan"
"Buchanania obovata"
"Buddleja davidii"
"Bulnesia arborea"
"Bunias orientalis"
"Bupleurum rigidum"
"Bupleurum salicifolium"
"Burkea africana"
"Bursera simaruba"
"Butea monosperma"
"Buxus macowanii"
"Buxus sempervirens"
"Cacalia hastata"
"Caesalpinia granadillo"
"Cajanus cajan"
"Calamagrostis anthoxanthoides"
"Calamagrostis canadensis"
"Calamagrostis intermedia"
"Calamagrostis lapponica"
"Calamagrostis purpuras"
"Calamintha nepeta"
"Calamovilfa longifolia"
"Calandrinia acaulis"
"Calathea inocephala"
"Calla palustre"
"Callirhoe involucrata"
"Callitris glaucophylla"
"Callitris intratropica"
"Calluna vulgaris"
"Calodendrum capense"
"Calophyllum longifolium"
"Caltha palustris"
"Calytrix alpestris"
"Calytrix flavescens"
"Camelina sativa "
"Camellia japonica"
"Camellia sinensis"
"Camellia sinensis var. assamica"
"Camellia sinensis var. sinensis"
"Camissonia brevipes"
"Camissonia claviformis"
"Campanula barbata"
"Campanula glomerata"
"Campanula sibirica"
"Campomanesia aromatica"
"Cannabis sativa"
"Capparis aristiguetae"
"Capparis baducca"
"Capparis flexuosa"
"Capparis linearis"
"Capparis odoratissima"
"Capparis pachaca"
"Capparis spinosa"
"Capparis verrucosa"
"Capsella bursa-pastoris"
"Capsicum annuum"
"Capsicum annuum cv. Super Chilli F1"
"Capsicum annuum var. annuum"
"Capsicum annuum var. glabriusculum"
"Capsicum anuum "
"Capsicum baccatum var. pendulum"
"Caraipa heterocarpa"
"Cardamine laciniata"
"Carex aquatilis"
"Carex bigelowii"
"Carex capitata"
"Carex dimorphotheca"
"Carex flacca"
"Carex hallerana"
"Carex kauaiensis"
"Carex lasiocarpa"
"Carex melanantha"
"Carex nigra"
"Carex orbicularis"
"Carex panicea"
"Carex pichinchensis"
"Carex pilulifera"
"Carex pseudofoetida"
"Carex rostrata"
"Carex saxatilis"
"Carex stenocarpa"
"Carex vaginata"
"Carica papaya"
"Carissa carundu"
"Carissa lanceolata"
"Carpinus betulus"
"Carpinus caroliniana"
"Carpinus cordata"
"Carthamus palaestinus"
"Carthamus tinctorius"
"Carthamus tinctorius var. inermis"
"Carum carvi"
"Carya cordiformis"
"Carya glabra"
"Carya ovata"
"Carya tomentosa"
"Caryocar brasiliense"
"Casearia arborea"
"Casearia sylvestris"
"Cashew guntur"
"Casimiroa edulis"
"Cassia fistula"
"Cassia grandis"
"Cassinia laevis"
"Cassinia vauvilliersii"
"Cassiope tetragona"
"Cassipourea ruwenzoriensis"
"Castanea dentata"
"Castanea sativa"
"Castanopsis sieboldii"
"Castilla elastica"
"Castilleja fissifolia"
"Castilleja sp"
"Catananche coerulea"
"Catostemma sp"
"Catunaregam uliginosa"
"Caulophyllum thalictroides"
"Ceanothus cuneatus"
"Ceanothus herbacesous"
"Ceanothus oliganthus"
"Cecropia ficifolia"
"Cecropia insignis"
"Cecropia longipes"
"Cecropia obtusifolia"
"Celtis africana"
"Celtis durandii"
"Celtis occidentalis"
"Centaurea jacea"
"Centaurea nigra"
"Cephalaria squamiflora"
"Cerastium arvense"
"Cerastium mollissimum"
"Cerastium uniflorum"
"Ceratonia siliqua"
"Cerbera manghas"
"Cercidiphyllum japonicum"
"Cercocarpus betuloides"
"Ceriops tagal"
"Chaetachme aristata"
"Chamaecytisus proliferus"
"Chamaedaphne calyculata"
"Chamaedorea alternans"
"Chamaedorea pinnatifrons"
"Cheirodendron tryginum"
"Chenopodium album"
"Chenopodium foliosum"
"Chenopodium oahuense"
"Chenopodium quinoa"
"Chilopsis linearis"
"Chionanthus pegleriae"
"Chionanthus sp1"
"Chionanthus virginicus"
"Christolea crassifolia"
"Chrysanthemum leucanthemum"
"Chrysophyllum argenteum"
"Chrysosplenium alternifolium"
"Chrysothamnus nauseosus"
"Chuquiraga jussieui"
"Cibotium glaucum"
"Cicer arietinum"
"Cicer arietinum "
"Cicer reticulatum"
"Cichorium endivia var. crispum"
"Cichorium intybus"
"Cichorium intybus (wild)"
"Cinnamomum barbeyanum"
"Cinnamomum japonicum"
"Cirsium arvense"
"Cirsium dissectum"
"Cirsium vulgare"
"Cissus producta"
"Cistus albidus"
"Cistus ladanifer"
"Cistus laurifolius"
"Cistus libanotis"
"Cistus monspeliensis"
"Cistus populifolius"
"Cistus salvifolius"
"Cistus simphytifolius"
"Citharexylum macradenium"
"Citrullus lanatus"
"Citrus limon"
"Citrus maxima"
"Citrus paradisi"
"Citrus reticulata"
"Citrus sinensis"
"Cladostemon kirkii"
"Claoxylon indicum"
"Clarisia biflora"
"Clausena anisata"
"Cleistanthus schlechteri"
"Clematis lasiantha"
"Clematis tangutica"
"Clematis vitalba"
"Clermontia montes-loa"
"Clethra alnifolia"
"Clethra mexicana"
"Cleyera japonica"
"Clidemia sericea"
"Clusia sp"
"Clusia stenophylla"
"Cneorum tricoccon"
"Coccoloba hondurensis"
"Cochlospermum fraseri"
"Cochlospermum vitifolium"
"Coffea arabica"
"Coffea caenephora"
"Cola greenwayi"
"Colophospermum mopane"
"Combretum apiculatum"
"Combretum fruticosum"
"Commersonia bartramia"
"Comptonia peregrina"
"Condalia hookeri"
"Connarus suberosus"
"Conostephium pendulum"
"Convallaria majalis"
"Convolvulus arvensis"
"Coprosma alpina"
"Coprosma cheesemanii"
"Coprosma ciliata"
"Coprosma ernodeoides"
"Coprosma ochracea"
"Coprosma parviflora"
"Coprosma rugosa"
"Coprosma serrulata"
"Corchorus olitorius"
"Cordia alliodora"
"Cordia caffra"
"Cordia dichotoma"
"Cordia megalantha"
"Coreopsis palmata"
"Coriandrum sativum"
"Cornus alternifolia"
"Cornus contraversa"
"Cornus florida"
"Cornus racemosa"
"Cornus sanguinea"
"Cornus suecica"
"Correa reflexa"
"Corydalis stricta"
"Corylus americanus"
"Corylus avellana"
"Corymbia foelscheana"
"Corymbia gummifera"
"Cotoneaster interrigimus"
"Coula edulis"
"Coursetia arborea"
"Crataegus curvisepala"
"Crataegus monogyna"
"Crataegus x.macrocarpa"
"Cremanthodium pinnatifidum"
"Crepis sancta"
"Crepis triasii"
"Crepis vesicaria"
"Crescentia cujete"
"Croton bilbergianus"
"Croton draco"
"Croton schiedeanus"
"Croton steenkampianus"
"Cryptocarya alba"
"Cucumis melo"
"Cucumis sativus"
"Cucumis sativus var. hardwickii"
"Cucurbita argyrosperma"
"Cucurbita maxima"
"Cucurbita moschata"
"Cucurbita pepo"
"Cunonia capensis"
"Cupania dentata"
"Cupania rufescens"
"Cupania sylvatica"
"Curtisia dentata"
"Cussonia spicata"
"Cycas armstrongii"
"Cydonia oblonga"
"Cymbopetalum baillonii"
"Cynara cardunculus var. altilis"
"Cynometra retusa"
"Cyrilla racemiflora"
"Cytisus scoparius"
"Dacrydium beccarii"
"Dactylis glomerata"
"Dactylis glomerata subsp. glomerata"
"Dactylorhiza maculata"
"Dalbergia armata"
"Dalbergia melanoxylon"
"Dalbergia sissoo"
"Dalea purpureum"
"Dalea villosum"
"Daphne gnidium"
"Daphne mezereum"
"Dasyphyllum diacanthoides"
"Datura stramonium"
"Daucus carota"
"Daucus carota subsp. carota"
"Daucus carota subsp. sativus"
"Davilla rugosa"
"Deidamia clematoides"
"Delphinium pictium"
"Dendropanax arboreus"
"Deschampsia cespitosa"
"Deschampsia flexuosa"
"Desmazeria rigida"
"Desmodium canadense"
"Desmopsis panamensis"
"Dialium guianense"
"Dialium schlechteri"
"Dianthus acicularis"
"Dianthus rupicola"
"Dianthus versicolor"
"Diapensia lapponica"
"Diastella divaricata"
"Dichanthium ischaemum"
"Dichostemma caloneura"
"Dichostemma glaucens"
"Dicranopteris linearis"
"Digitalis grandiflora"
"Dillenia indica"
"Dillenia suffruticosa"
"Diospyros cauliflora"
"Diospyros dendo"
"Diospyros embryopteris"
"Diospyros hoyleana"
"Diospyros inhacaensis"
"Diospyros maingayi"
"Diospyros melanoxylon"
"Diospyros natalensis"
"Diospyros nutans"
"Diospyros texana"
"Diospyros whyteana"
"Diplospora malaccensis"
"Diplostephium rupestre"
"Dipterocarpus sublamellatus"
"Dirca occidentalis"
"Dittrichia viscosa"
"Dodonaea triquetra"
"Dodonaea viscosa"
"Dodonaea viscosa.angustissima"
"Dodonaea viscosa.cuneata"
"Dodonaea viscosa.spatulata"
"Dombeya mukole"
"Doronicum clusii"
"Dovyalis longispina"
"Draba aretioides"
"Draba korshinskyi"
"Draba pamirica"
"Dracocephalum heterophyllum"
"Dracocephalum paulsenii"
"Dracophyllum prostratum"
"Dracophyllum uniflorum"
"Drimys piperita"
"Drimys winteri"
"Drosera rotundifolia"
"Drosera sp"
"Dryas integrifolia"
"Dryas octopetala"
"Drypetes arguta"
"Drypetes natalensis"
"Dubautia scabra"
"Duguetia furfuracea"
"Dussia mexicana"
"Echinacea angustifolia"
"Echinacea purpurea"
"Echinochloa colona"
"Echinochloa crus-galli"
"Echinochloa esculenta"
"Echinochloa frumentacea"
"Echinops ritro"
"Ekebergia capensis"
"Elaeagnus angustifolia"
"Elaeis guineensis"
"Elaeis oleifera"
"Elateriospermum tapos"
"Elymus nutans"
"Elymus repens"
"Embothrium coccineum"
"Empetrum hermaphroditum"
"Empetrum nigrum"
"Englerophytum natalense"
"Ensete ventricosum"
"Eperua leucantha"
"Eperua purpurea"
"Ephedra regeliana"
"Epilobium angustifolium"
"Epilobium glandulosum"
"Epilobium latifolium"
"Epilobium lirsutum"
"Epipactis helleborine"
"Equisetum arvense"
"Equisetum sylvaticum"
"Equisetum variegatum"
"Eremaea pauciflora"
"Eremophila deserti"
"Eremophila glabra"
"Eremophila longifolia"
"Eremophila mitchelli"
"Erica arborea"
"Erica cinera"
"Erica scoparia"
"Erica tetralix"
"Erigeron acre"
"Erigeron ecuadoriensis"
"Erigeron heterochaeta"
"Erigeron poncinsii"
"Erigeron strigosus"
"Erigeron uniflorus"
"Eriobotrya japonica"
"Eriodictyon californicum"
"Eriophorum angustifolium"
"Eriophorum triste"
"Eriophorum vaginatum"
"Eriostemon australasius"
"Erodium cicutarium"
"Eruca sativa"
"Eruca sativa "
"Eruca vesicaria"
"Eryngium campestre"
"Erythrina caffra"
"Erythrina excelsa"
